Num_Stacked_Data,unpen_beta,CV_beta,unpen_gamma,CV_gamma,unpen_pred_RMSE,cv_pred_RMSE,unpen_pred_MAE,cv_pred_MAE,unpen_pred_Spearman,cv_pred_Spearman,unpen_Correct_pred,cv_Correct_pred,unpen_wrong_pred,cv_wrong_pred,unpen_team_size_RMSE,cv_team_size_RMSE,unpen_team_size_MAE,cv_team_size_MAE,unpen_team_size_Spearman,cv_team_size_Spearman,unpen_team_size_correct_pred,cv_team_size_correct_pred,unpen_team_size_wrong_pred,cv_team_size_wrong_pred,unpen_combine_RMSE,cv_combine_RMSE,unpen_combine_MAE,cv_combine_MAE,unpen_combine_Spearman,cv_combine_Spearman,unpen_combine_correct_pred,cv_combine_correct_pred,unpen_combine_incorrect_pred,cv_combine_incorrect_pred,unpen_RMSE_between_alpha,cv_RMSE_between_alpha,unpen_MAE_between_alpha,cv_MAE_between_alpha,unpen_Opt_lik_est,cv_Opt_lik_est
1,0.6857720736459413,-0.10032215339546477,-0.7536219211225309,0.0943276717376185,4.9018708,4.864339879999999,3.8945,3.856,0.41489391999999997,0.42350576,0.10225,0.1075,0.89775,0.8925,5.074306280000001,5.074306280000001,4.043,4.043,0.37449444,0.37449444,0.09925,0.09925,0.90075,0.90075,5.010310400000001,4.966480399999999,3.984,3.9495,0.3898244,0.4000699999999999,0.09925,0.09725,0.90075,0.90275,3.8515946800000003,1.4862110400000001,2.6378929199999996,1.18535764,65.07166708,70.54083643999999
2,-0.8900228378542202,-1.1387105810504168,0.9564509196210814,1.1748970991861198,4.13317696,4.1167682800000005,3.2475,3.235,0.5798233600000001,0.5841294399999999,0.12075,0.124,0.87925,0.876,4.53211396,4.53211396,3.579,3.579,0.49615268,0.49615268,0.107,0.107,0.893,0.893,4.2974988,4.2565512,3.392,3.359,0.5464403999999999,0.5550463999999999,0.11575,0.11475,0.88425,0.88525,0.64393856,0.32034132,0.49662196000000003,0.25440356000000003,154.02520468000003,160.16329348000002
3,-1.0923637555484,-1.2235441341480322,1.1279780898094502,1.2433551608400513,3.71208748,3.7033032400000003,2.8985,2.891,0.6606122400000001,0.6630704399999999,0.13,0.12975,0.87,0.87025,4.10329164,4.10329164,3.2455,3.2455,0.5850470799999999,0.5850470799999999,0.1095,0.1095,0.8905,0.8905,3.8421424,3.8220131999999998,3.0145,3.007,0.6361564,0.6402728,0.12575,0.1225,0.87425,0.8775,0.40368844000000004,0.24195479999999997,0.32411880000000004,0.1975238,235.71449447999998,241.36628412
4,-1.104825924466064,-1.1996860174788258,1.1321551282239066,1.2094458194957787,3.46690156,3.46684436,2.679,2.68,0.7023882,0.7026000399999999,0.1535,0.15075,0.8465,0.84925,3.86363536,3.86363536,3.038,3.038,0.6330822,0.6330822,0.128,0.128,0.872,0.872,3.6150292,3.6075496,2.817,2.8145,0.6775152000000001,0.6791392,0.1405,0.138,0.8595,0.862,0.33103928000000005,0.21851204000000002,0.26812812,0.1771468,319.44656536,325.01359776000004
5,-1.169591385684823,-1.2337407215830836,1.183467909259669,1.2337210233337377,3.20111604,3.17604828,2.486,2.468,0.7483999200000001,0.7521294399999999,0.16125,0.15925,0.83875,0.84075,3.6432771600000002,3.6432771600000002,2.8475,2.8475,0.6735767599999999,0.6735767599999999,0.14225,0.14225,0.85775,0.85775,3.3577276,3.3319052,2.6105,2.5855,0.7232452,0.7277044,0.1595,0.165,0.8405,0.835,0.2773368399999999,0.19838208,0.22456612,0.16152408,400.61235996000005,405.86537528
6,-1.1767839785905334,-1.2289233491390463,1.190860520017502,1.2326080415545155,3.0304186800000004,3.0276321599999996,2.346,2.3415,0.77412948,0.7746708000000001,0.15975,0.16075,0.84025,0.83925,3.4879452,3.4879452,2.733,2.733,0.70102356,0.70102356,0.13675,0.13675,0.86325,0.86325,3.2009188,3.1846596,2.5015,2.487,0.7487536,0.7512696,0.15075,0.15025,0.84925,0.84975,0.2497684,0.18756936000000002,0.20091424,0.15241412,482.38409468,487.52560035999994
7,-1.2049370571052127,-1.2487049337423943,1.2095349280161878,1.2422368555706946,2.8540781199999996,2.84781608,2.2135,2.2045,0.79903528,0.80003544,0.1745,0.17875,0.8255,0.82125,3.2745764,3.2745764,2.5425,2.5425,0.736788,0.736788,0.1605,0.1605,0.8395,0.8395,2.9913567999999997,2.9841832,2.316,2.31,0.7801984,0.78101,0.173,0.17825,0.827,0.82175,0.22672820000000002,0.17506472,0.18498404,0.14252352,563.69599836,568.99378448
8,-1.2026325662306034,-1.2407253673036032,1.214934318283378,1.2433682315857322,2.74077184,2.7418494399999997,2.1125,2.1045,0.8154943599999999,0.81529452,0.18575,0.1915,0.81425,0.8085,3.17171744,3.17171744,2.45,2.45,0.7525416,0.7525416,0.1645,0.1645,0.8355,0.8355,2.8886408,2.8901316,2.215,2.217,0.7952128,0.7948371999999999,0.183,0.18425,0.817,0.81575,0.21133963999999997,0.16813596,0.17043248,0.1367294,645.34395508,650.6060489600001
9,-1.2009605460323145,-1.2332025764119106,1.216064775018899,1.2404278865700522,2.65706564,2.65858976,2.048,2.049,0.82583536,0.8258824800000001,0.1855,0.1815,0.8145,0.8185,3.0608498799999997,3.0608498799999997,2.3755,2.3755,0.76859988,0.76859988,0.15675,0.15675,0.84325,0.84325,2.7907444,2.7898948,2.1505,2.155,0.8070620000000001,0.8073628000000002,0.1825,0.1795,0.8175,0.8205,0.20108024,0.16298452,0.16185951999999998,0.1318776,727.76800332,732.9823938
10,-1.2087648376676698,-1.2379164648807985,1.2265492778933536,1.2479468378460083,2.4748616,2.4845793599999997,1.902,1.911,0.8487527600000001,0.8477526799999999,0.19975,0.1975,0.80025,0.8025,2.89959308,2.89959308,2.2355,2.2355,0.79207052,0.79207052,0.1815,0.1815,0.8185,0.8185,2.6337007999999997,2.6304579999999995,2.023,2.023,0.8288363999999999,0.8293084000000001,0.1925,0.19075,0.8075,0.80925,0.18327924,0.15154252,0.148627,0.12357199999999999,808.94662744,814.11760444
