Num_Stacked_Data,unpen_beta,CV_beta,unpen_gamma,CV_gamma,unpen_pred_RMSE,cv_pred_RMSE,unpen_pred_MAE,cv_pred_MAE,unpen_pred_Spearman,cv_pred_Spearman,unpen_Correct_pred,cv_Correct_pred,unpen_wrong_pred,cv_wrong_pred,unpen_team_size_RMSE,cv_team_size_RMSE,unpen_team_size_MAE,cv_team_size_MAE,unpen_team_size_Spearman,cv_team_size_Spearman,unpen_team_size_correct_pred,cv_team_size_correct_pred,unpen_team_size_wrong_pred,cv_team_size_wrong_pred,unpen_combine_RMSE,cv_combine_RMSE,unpen_combine_MAE,cv_combine_MAE,unpen_combine_Spearman,cv_combine_Spearman,unpen_combine_correct_pred,cv_combine_correct_pred,unpen_combine_incorrect_pred,cv_combine_incorrect_pred,unpen_RMSE_between_alpha,cv_RMSE_between_alpha,unpen_MAE_between_alpha,cv_MAE_between_alpha,unpen_Opt_lik_est,cv_Opt_lik_est
1,1.487686225544088,0.8169564758832069,-0.5414340312123185,0.16104255180628638,3.9595896,3.8974954399999997,3.0615,3.017,0.6150705600000002,0.62701152,0.14375,0.142,0.85625,0.858,4.32724456,4.32724456,3.3685,3.3685,0.5425059999999999,0.5425059999999999,0.12825,0.12825,0.87175,0.87175,4.153831599999999,4.1133416,3.2225,3.194,0.5776252,0.5858831999999999,0.13775,0.13425,0.86225,0.86575,3.7972583600000003,1.47254032,2.39499892,1.1534021600000002,66.46540468,70.55025648000002
2,0.04032465291894084,-0.1929759462623075,1.1191723100325603,1.3059876108677582,2.9051276799999997,2.87431132,2.2195,2.21,0.79009412,0.7950474,0.18175,0.177,0.81825,0.823,3.48651256,3.48651256,2.7025,2.7025,0.7014227999999999,0.7014227999999999,0.1435,0.1435,0.8565,0.8565,3.1580852000000004,3.1242668000000005,2.42,2.4005,0.7534571999999999,0.7587983999999999,0.16725,0.167,0.83275,0.833,0.84448248,0.77586092,0.62770368,0.62979016,153.02952036,157.7014584
3,-0.11908921208345037,-0.25832793740856896,1.3122102910457325,1.4068927337795476,2.5473536400000003,2.52337068,1.943,1.924,0.83895296,0.84171772,0.2005,0.20525,0.7995,0.79475,3.15866264,3.15866264,2.4445,2.4445,0.7549880000000001,0.7549880000000001,0.161,0.161,0.839,0.839,2.8155356,2.7992524,2.165,2.153,0.8043884,0.8065532000000001,0.18525,0.18775,0.81475,0.81225,0.6685476000000001,0.72182728,0.5309755199999999,0.59543952,234.83126247999996,239.3666398
4,-0.19614576198823871,-0.29190078339552206,1.3727947525679138,1.4349975687787297,2.2537056,2.2419818800000004,1.689,1.6785,0.87447064,0.87591776,0.23925,0.242,0.76075,0.758,2.90517192,2.90517192,2.229,2.229,0.79207068,0.79207068,0.17775,0.17775,0.82225,0.82225,2.5384432,2.529656,1.926,1.9245,0.8412316000000001,0.8423292,0.216,0.214,0.784,0.786,0.6029446799999999,0.67316104,0.5012179200000001,0.57049776,315.96562456000004,320.35251944000004
5,-0.2492950522595954,-0.32208723839090303,1.474924692823363,1.5207472247830012,2.1584980000000002,2.1489245599999998,1.622,1.615,0.8853174800000001,0.8863528,0.242,0.24225,0.758,0.75775,2.7359948,2.7359948,2.096,2.096,0.8159174,0.8159174,0.18625,0.18625,0.81375,0.81375,2.4110887999999995,2.3972344,1.8085,1.8015,0.8571764000000001,0.8587776,0.242,0.2405,0.758,0.7595,0.5976228,0.6642178,0.50041536,0.56509104,397.04293232000003,401.40926312
6,-0.26016577459748247,-0.3189434056204529,1.4321060920172515,1.4664041029480677,2.00465956,1.99602896,1.508,1.4985,0.9004473600000001,0.90122368,0.2605,0.268,0.7395,0.732,2.63577948,2.63577948,2.021,2.021,0.82845852,0.82845852,0.18675,0.18675,0.81325,0.81325,2.2901192,2.2789348000000005,1.733,1.722,0.8703292,0.8716104,0.23625,0.24075,0.76375,0.75925,0.5881375600000001,0.64814364,0.49659988000000005,0.55466152,479.34081556,483.6960128
7,-0.2575612376758875,-0.3064546708249503,1.417816658828926,1.4453307620428522,1.8575926800000002,1.8519972400000002,1.3855,1.379,0.91457648,0.9150352399999999,0.279,0.28075,0.721,0.71925,2.4084777999999996,2.4084777999999996,1.8315,1.8315,0.85778844,0.85778844,0.2125,0.2125,0.7875,0.7875,2.0861895999999995,2.0842183999999997,1.561,1.558,0.8926572000000002,0.8927768000000001,0.26425,0.26525,0.73575,0.73475,0.5781533999999999,0.63044344,0.49150836000000003,0.54211236,560.1269142,564.4092421199999
8,-0.27486131095343924,-0.3165004222594111,1.444405820912343,1.468071461889918,1.79287148,1.7868346000000002,1.342,1.337,0.92051744,0.9210116,0.27775,0.27875,0.72225,0.72125,2.31559904,2.31559904,1.753,1.753,0.8675999999999999,0.8675999999999999,0.22325,0.22325,0.77675,0.77675,2.0223655999999997,2.0178392,1.5035,1.502,0.8988452,0.8993276,0.2705,0.26925,0.7295,0.73075,0.57896796,0.6255614399999999,0.49224676,0.5373503600000001,640.11743728,644.273656
9,-0.29129853181622095,-0.3271550142835903,1.4736204839071918,1.4930471531191514,1.7617684,1.76204872,1.316,1.315,0.92344704,0.92349416,0.2855,0.2855,0.7145,0.7145,2.2673249199999996,2.2673249199999996,1.7205,1.7205,0.87342348,0.87342348,0.2295,0.2295,0.7705,0.7705,1.9782172,1.9788636000000002,1.4795,1.482,0.9035275999999999,0.9035295999999999,0.27475,0.27275,0.72525,0.72725,0.57958632,0.62169816,0.49241712,0.5330934400000001,720.40565236,724.51136216
10,-0.30659253670467795,-0.33853903698939136,1.4766026551114984,1.4929068016391234,1.6523954400000003,1.6451150800000003,1.218,1.2115,0.9326702,0.93321144,0.31275,0.31525,0.68725,0.68475,2.11507184,2.11507184,1.5835,1.5835,0.88965896,0.88965896,0.2475,0.2475,0.7525,0.7525,1.8340860000000003,1.8309288000000001,1.341,1.3395,0.9167384,0.9169504,0.308,0.308,0.692,0.692,0.57915196,0.6193080400000001,0.49823784,0.53610212,802.65179444,806.7873022
