Num_Stacked_Data,unpen_beta,CV_beta,unpen_gamma,CV_gamma,unpen_pred_RMSE,cv_pred_RMSE,unpen_pred_MAE,cv_pred_MAE,unpen_pred_Spearman,cv_pred_Spearman,unpen_Correct_pred,cv_Correct_pred,unpen_wrong_pred,cv_wrong_pred,unpen_team_size_RMSE,cv_team_size_RMSE,unpen_team_size_MAE,cv_team_size_MAE,unpen_team_size_Spearman,cv_team_size_Spearman,unpen_team_size_correct_pred,cv_team_size_correct_pred,unpen_team_size_wrong_pred,cv_team_size_wrong_pred,unpen_combine_RMSE,cv_combine_RMSE,unpen_combine_MAE,cv_combine_MAE,unpen_combine_Spearman,cv_combine_Spearman,unpen_combine_correct_pred,cv_combine_correct_pred,unpen_combine_incorrect_pred,cv_combine_incorrect_pred,unpen_RMSE_between_alpha,cv_RMSE_between_alpha,unpen_MAE_between_alpha,cv_MAE_between_alpha,unpen_Opt_lik_est,cv_Opt_lik_est
1,0.31414043100134514,-0.27901290998860556,1.0,1.0,2.15074392,2.11094104,1.644,1.615,0.88549388,0.88989376,0.22725,0.22975,0.77275,0.77025,2.4996047200000002,2.4996047200000002,1.9375,1.9375,0.84661188,0.84661188,0.1895,0.1895,0.8105,0.8105,2.3234488,2.280962,1.777,1.7455,0.8671056,0.871906,0.22175,0.22275,0.77825,0.77725,6.200812920000001,1.699269,4.396304959999999,1.3749351200000002,83.80470924,89.09414063999999
2,-0.9143545479471976,-1.056619598203581,1.0,1.0,1.61467056,1.6101985600000002,1.198,1.1905,0.9349176,0.9351648,0.30975,0.313,0.69025,0.687,1.9007018800000002,1.9007018800000002,1.463,1.463,0.909894,0.909894,0.23925,0.23925,0.76075,0.76075,1.7240799999999998,1.7058263999999999,1.291,1.2755,0.9256116,0.9269868000000001,0.294,0.2985,0.706,0.7015,0.91735492,0.5245788,0.65947664,0.41778427999999995,189.60020564,194.04399856
3,-1.0725053379274798,-1.154881444239665,1.0,1.0,1.3907648000000001,1.3855898400000002,1.013,1.0075,0.95229408,0.9526235200000001,0.354,0.35625,0.646,0.64375,1.62538504,1.62538504,1.2245,1.2245,0.93464684,0.93464684,0.29075,0.29075,0.70925,0.70925,1.4717719999999999,1.4605548,1.0785,1.069,0.9462832000000001,0.9469516,0.34275,0.34575,0.65725,0.65425,0.47089972,0.38179147999999996,0.3785198,0.30999728000000004,288.0150536,292.49208276
4,-1.1106133593294243,-1.16651168944582,1.0,1.0,1.27311524,1.2686872800000002,0.9145,0.91,0.9597882400000001,0.9600825599999999,0.38025,0.38275,0.61975,0.61725,1.5316954,1.5316954,1.132,1.132,0.9420468399999999,0.9420468399999999,0.32475,0.32475,0.67525,0.67525,1.3549415999999999,1.3540476000000001,0.972,0.9695,0.9542719999999999,0.9543776,0.37425,0.37725,0.62575,0.62275,0.40760988,0.34022756000000004,0.32023204,0.26961672,387.42872916,391.62796288
5,-1.1368573750766906,-1.1796415743738724,1.0,1.0,1.1693208,1.16904616,0.8355,0.833,0.96581164,0.965847,0.41125,0.414,0.58875,0.586,1.3919143200000001,1.3919143200000001,1.0255,1.0255,0.9518704,0.9518704,0.34525,0.34525,0.65475,0.65475,1.2406284,1.2360784,0.882,0.8785,0.9615668,0.96185,0.40375,0.40425,0.59625,0.59575,0.31982104,0.28134152,0.25641204000000006,0.2266416,487.22107476,491.48153184
6,-1.1595237843807567,-1.1949181376971283,1.0,1.0,1.12711876,1.12388832,0.784,0.78,0.9678584799999999,0.96799956,0.44175,0.44475,0.55825,0.55525,1.3328454800000002,1.3328454800000002,0.9705,0.9705,0.95562348,0.95562348,0.37025,0.37025,0.62975,0.62975,1.1875512,1.1890212,0.8295,0.8295,0.9644611999999999,0.9644371999999999,0.43025,0.43025,0.56975,0.56975,0.28855112000000005,0.25651544000000004,0.23265648000000003,0.20751192000000002,586.7670088399999,591.1560797200001
7,-1.1903423516706562,-1.2203166482625754,1.0,1.0,1.00781992,1.01064288,0.6995,0.7025,0.9747410399999998,0.97465868,0.46375,0.46175,0.53625,0.53825,1.17242008,1.17242008,0.846,0.846,0.9655645999999999,0.9655645999999999,0.40025,0.40025,0.59975,0.59975,1.0300128,1.0301056,0.7075,0.707,0.9732688,0.9732695999999998,0.4715,0.47225,0.5285,0.52775,0.25316708,0.22981907999999998,0.20462748,0.1857838,684.8672607199999,689.2492229200001
8,-1.1893995563499393,-1.2155405806308819,1.0,1.0,1.01755712,1.01766172,0.699,0.699,0.974259,0.97427044,0.47275,0.47225,0.52725,0.52775,1.21839744,1.21839744,0.8755,0.8755,0.96297636,0.96297636,0.39775,0.39775,0.60225,0.60225,1.0602719999999999,1.0591932,0.734,0.733,0.971624,0.9716604,0.46275,0.4635,0.53725,0.5365,0.23438240000000002,0.21706456000000002,0.18969988000000002,0.17600512,786.41437496,790.84704004
9,-1.205872041198972,-1.2280179792251498,1.0,1.0,1.01206776,1.0128007600000002,0.691,0.691,0.97448236,0.97445892,0.4785,0.479,0.5215,0.521,1.1593333200000002,1.1593333200000002,0.823,0.823,0.96645884,0.96645884,0.41725,0.41725,0.58275,0.58275,1.0229035999999998,1.0225764,0.6975,0.697,0.9735447999999999,0.973568,0.4815,0.482,0.5185,0.518,0.219112,0.20410432,0.1762444,0.16444324,883.4583697600001,887.75250328
10,-1.2075907257003704,-1.2273355379066042,1.0,1.0,0.96866348,0.9674589600000002,0.663,0.6615,0.9766466,0.9766937599999999,0.484,0.48525,0.516,0.51475,1.1309231199999998,1.1309231199999998,0.795,0.795,0.96814112,0.96814112,0.43125,0.43125,0.56875,0.56875,0.9919472,0.9903147999999998,0.667,0.666,0.9753327999999999,0.9754276,0.49275,0.49275,0.50725,0.50725,0.2040462,0.19163436,0.16377935999999998,0.15519380000000002,984.1908910799998,988.4228903600001
11,-1.2076590855610894,-1.2258520184350192,1.0,1.0,0.9345030400000001,0.93448988,0.6305,0.6315,0.9779409599999999,0.97794092,0.504,0.50325,0.496,0.49675,1.10446948,1.10446948,0.7725,0.7725,0.96935264,0.96935264,0.43975,0.43975,0.56025,0.56025,0.951268,0.95105,0.6345,0.635,0.9770719999999999,0.9770827999999999,0.50725,0.50625,0.49275,0.49375,0.19454575999999998,0.18246099999999998,0.15541219999999997,0.14642844000000002,1081.0437416,1085.35684672
12,-1.2180625155564802,-1.2347244299613558,1.0,1.0,0.9089659200000001,0.90911484,0.6155,0.6155,0.97917632,0.9791409999999999,0.50525,0.5055,0.49475,0.4945,1.07672968,1.07672968,0.755,0.755,0.97097632,0.97097632,0.4395,0.4395,0.5605,0.5605,0.9330843999999999,0.9333139999999999,0.6225,0.622,0.9779652,0.9779656,0.511,0.5115,0.489,0.4885,0.18307284,0.17303368,0.14817028,0.14025928,1180.7917201999999,1185.1752697199997
