Num_Stacked_Data,unpen_beta,CV_beta,unpen_gamma,CV_gamma,unpen_pred_RMSE,cv_pred_RMSE,unpen_pred_MAE,cv_pred_MAE,unpen_pred_Spearman,cv_pred_Spearman,unpen_Correct_pred,cv_Correct_pred,unpen_wrong_pred,cv_wrong_pred,unpen_team_size_RMSE,cv_team_size_RMSE,unpen_team_size_MAE,cv_team_size_MAE,unpen_team_size_Spearman,cv_team_size_Spearman,unpen_team_size_correct_pred,cv_team_size_correct_pred,unpen_team_size_wrong_pred,cv_team_size_wrong_pred,unpen_combine_RMSE,cv_combine_RMSE,unpen_combine_MAE,cv_combine_MAE,unpen_combine_Spearman,cv_combine_Spearman,unpen_combine_correct_pred,cv_combine_correct_pred,unpen_combine_incorrect_pred,cv_combine_incorrect_pred,unpen_RMSE_between_alpha,cv_RMSE_between_alpha,unpen_MAE_between_alpha,cv_MAE_between_alpha,unpen_Opt_lik_est,cv_Opt_lik_est
1,0.3321077193566133,-0.3370451120305973,-0.3776434331317372,0.34041401643200736,2.2070721200000003,2.20320752,1.6765,1.675,0.8788353600000001,0.8785179599999999,0.22575,0.222,0.77425,0.778,2.4986634800000003,2.4986634800000003,1.904,1.904,0.8463295200000001,0.8463295200000001,0.21025,0.21025,0.78975,0.78975,2.3462936,2.3272896,1.7785,1.7605,0.8637492,0.865576,0.2245,0.227,0.7755,0.773,5.87213024,1.53762772,4.05451248,1.2472,51.569577960000004,55.921590880000004
2,-0.9065486973868606,-1.0703034762343095,0.8955024559572219,1.0509915151242915,1.6611856400000002,1.6477304400000001,1.2335,1.227,0.93184716,0.93271752,0.302,0.29925,0.698,0.70075,1.8966839599999998,1.8966839599999998,1.4395,1.4395,0.91115272,0.91115272,0.25525,0.25525,0.74475,0.74475,1.75715,1.7381616,1.303,1.2915,0.923672,0.9252824,0.29525,0.29425,0.70475,0.70575,0.81068128,0.52861476,0.6263383999999999,0.42762636,118.32003368,121.96976848
3,-1.0732001510438978,-1.1653353936987751,1.0949256189199044,1.1784801826627467,1.4047319999999999,1.4033194800000002,1.034,1.0315,0.9512588,0.95131736,0.34125,0.3435,0.65875,0.6565,1.67313764,1.67313764,1.263,1.263,0.9309179999999999,0.9309179999999999,0.2805,0.2805,0.7195,0.7195,1.501936,1.4941675999999997,1.108,1.1005,0.94418,0.9447324,0.332,0.335,0.668,0.665,0.56063904,0.43063152000000005,0.42986032,0.33525084,182.2329904,185.76680652
4,-1.1353025621912025,-1.2012058576458904,1.1357575206104105,1.1946517561269725,1.31491552,1.3174134800000001,0.9605,0.9645,0.9571882399999999,0.95702336,0.35975,0.35775,0.64025,0.64225,1.54081088,1.54081088,1.1535,1.1535,0.94152916,0.94152916,0.30325,0.30325,0.69675,0.69675,1.3687719999999999,1.3698408,1.001,1.002,0.9534884000000001,0.9534996,0.3535,0.35375,0.6465,0.64625,0.41090692,0.32828672,0.32217488000000005,0.26451280000000005,244.77144007999996,248.33400939999999
5,-1.1539683085719097,-1.2034166831001005,1.1722499021366413,1.2149501247864072,1.1995627199999999,1.19478892,0.8575,0.8575,0.96381168,0.96412928,0.40375,0.399,0.59625,0.601,1.38987356,1.38987356,1.019,1.019,0.95159988,0.95159988,0.34875,0.34875,0.65125,0.65125,1.2315308,1.2279567999999998,0.88,0.8765,0.9614948,0.961778,0.4005,0.4025,0.5995,0.5975,0.33478107999999995,0.29168992000000005,0.27050260000000004,0.23460575999999997,307.52443963999997,311.06054384
6,-1.167579557291754,-1.2080453893864782,1.1790358348623136,1.2142391949564557,1.15066752,1.14809096,0.815,0.8125,0.9668822399999999,0.96703512,0.4245,0.4265,0.5755,0.5735,1.3158247200000002,1.3158247200000002,0.963,0.963,0.9570941199999999,0.9570941199999999,0.36125,0.36125,0.63875,0.63875,1.1747091999999997,1.1744308,0.8225,0.8215,0.965328,0.9653168000000001,0.431,0.433,0.569,0.567,0.2998512,0.26536332000000007,0.24261884000000003,0.21563084,369.93101748,373.42624176
7,-1.190032823492864,-1.2231573306913583,1.1933239300831617,1.2223580935733267,1.1201090800000002,1.11837896,0.784,0.7835,0.9684588799999999,0.9686001599999999,0.43725,0.43625,0.56275,0.56375,1.26698132,1.26698132,0.9145,0.9145,0.96003508,0.96003508,0.38125,0.38125,0.61875,0.61875,1.1314328,1.1285564,0.7875,0.784,0.9676707999999999,0.9678227999999999,0.44075,0.4425,0.55925,0.5575,0.26194536000000007,0.23808700000000002,0.21222364,0.1935512,434.2463064,437.71383064
8,-1.1854299543689049,-1.21525061910583,1.1954385462536543,1.2212030412636337,1.0641774800000001,1.0641656,0.7255,0.724,0.9714937600000001,0.9714702,0.47025,0.47225,0.52975,0.52775,1.1912042,1.1912042,0.8455,0.8455,0.96467044,0.96467044,0.412,0.412,0.588,0.588,1.0565912000000002,1.0569600000000001,0.7155,0.714,0.9715811999999999,0.9716168000000001,0.4815,0.483,0.5185,0.517,0.24558008,0.22670208000000003,0.19945875999999998,0.18542624,498.11200156,501.63030635999996
9,-1.209195669189264,-1.2345094268593557,1.2251522054390056,1.2470487616312644,1.03876076,1.03721016,0.7255,0.7255,0.97325876,0.97331744,0.451,0.4495,0.549,0.5505,1.179919,1.179919,0.848,0.848,0.9652704799999999,0.9652704799999999,0.40375,0.40375,0.59625,0.59625,1.0403764000000002,1.0363247999999998,0.7235,0.719,0.9729184000000001,0.9730943999999999,0.4565,0.459,0.5435,0.541,0.224189,0.2074332,0.18104868,0.16770828000000002,559.36278536,562.8756629200001
10,-1.2027040961507331,-1.2258110981513854,1.2002622539669414,1.2202537706942032,1.00356092,1.0040936,0.686,0.688,0.97499964,0.9749643600000001,0.47625,0.47375,0.52375,0.52625,1.1111671200000002,1.1111671200000002,0.779,0.779,0.9691176800000001,0.9691176800000001,0.43575,0.43575,0.56425,0.56425,0.9951876,0.9934367999999999,0.664,0.663,0.9751924,0.9752867999999999,0.5005,0.5005,0.4995,0.4995,0.21636615999999997,0.20286059999999997,0.17552972,0.16464199999999998,624.17592576,627.6997545999999
11,-1.2075559919400243,-1.228344726336647,1.2268316995110475,1.2446905380157136,0.97216868,0.9722719999999999,0.6615,0.662,0.97641164,0.97642344,0.484,0.483,0.516,0.517,1.1002970800000003,1.1002970800000003,0.766,0.766,0.9698823999999999,0.9698823999999999,0.44125,0.44125,0.55875,0.55875,0.9794883999999999,0.9787176,0.66,0.6595,0.9759684,0.9760152,0.49075,0.491,0.50925,0.509,0.19582724,0.18433736,0.1592984,0.15008424,686.67847152,690.1915635600001
12,-1.206362790925804,-1.2252999902148003,1.2117142457665937,1.2285067898998259,0.9318392,0.9329819199999999,0.6215,0.6225,0.9783411200000001,0.9783176,0.51,0.50925,0.49,0.49075,1.08844464,1.08844464,0.767,0.767,0.970306,0.970306,0.4375,0.4375,0.5625,0.5625,0.9449444,0.9407667999999999,0.6305,0.6275,0.9773651999999999,0.97753,0.511,0.51275,0.489,0.48725,0.18789820000000002,0.17822516,0.15224936,0.14438276,750.8711773599999,754.3696396400001
