Num_Stacked_Data,unpen_beta,CV_beta,unpen_gamma,CV_gamma,unpen_pred_RMSE,cv_pred_RMSE,unpen_pred_MAE,cv_pred_MAE,unpen_pred_Spearman,cv_pred_Spearman,unpen_Correct_pred,cv_Correct_pred,unpen_wrong_pred,cv_wrong_pred,unpen_team_size_RMSE,cv_team_size_RMSE,unpen_team_size_MAE,cv_team_size_MAE,unpen_team_size_Spearman,cv_team_size_Spearman,unpen_team_size_correct_pred,cv_team_size_correct_pred,unpen_team_size_wrong_pred,cv_team_size_wrong_pred,unpen_combine_RMSE,cv_combine_RMSE,unpen_combine_MAE,cv_combine_MAE,unpen_combine_Spearman,cv_combine_Spearman,unpen_combine_correct_pred,cv_combine_correct_pred,unpen_combine_incorrect_pred,cv_combine_incorrect_pred,unpen_RMSE_between_alpha,cv_RMSE_between_alpha,unpen_MAE_between_alpha,cv_MAE_between_alpha,unpen_Opt_lik_est,cv_Opt_lik_est
1,1.5129014961572285,0.7662631860297356,1.0,1.0,4.08682872,4.0820692,3.173,3.163,0.59230588,0.5933880399999999,0.129,0.1325,0.871,0.8675,4.2186136,4.2186136,3.2985,3.2985,0.56514112,0.56514112,0.11375,0.11375,0.88625,0.88625,4.1531671999999995,4.1339152,3.2335,3.2085,0.5783156,0.582646,0.12225,0.13025,0.87775,0.86975,3.5277986,1.45978032,2.2065300799999994,1.1563819600000003,113.46580896,119.60898251999998
2,-0.03941437233880883,-0.33977635942806533,1.0,1.0,3.3631646,3.3930097999999997,2.5845,2.599,0.72249448,0.7164826000000001,0.16275,0.17,0.83725,0.83,3.51316788,3.51316788,2.751,2.751,0.6960350399999999,0.6960350399999999,0.14325,0.14325,0.85675,0.85675,3.4216352,3.4259244,2.664,2.661,0.7123676,0.7107876,0.153,0.16125,0.847,0.83875,0.83388752,0.8813368800000001,0.6601912,0.73743012,254.35622947999997,261.35601052
3,-0.24427681298484516,-0.4222713357508853,1.0,1.0,2.97658068,3.0046899199999997,2.263,2.2905,0.78055292,0.7759996800000001,0.18175,0.18225,0.81825,0.81775,3.1607046,3.1607046,2.424,2.424,0.7538119200000001,0.7538119200000001,0.16025,0.16025,0.83975,0.83975,3.0131211999999996,3.0214216,2.2955,2.2985,0.7750456,0.774096,0.1775,0.1825,0.8225,0.8175,0.7348136399999999,0.8507054399999999,0.6143239599999999,0.72811724,389.8080172,396.48020184
4,-0.29464803593254374,-0.4190254934704732,1.0,1.0,2.8398242,2.8671338400000006,2.1445,2.1635,0.8019765999999999,0.79828252,0.192,0.1945,0.808,0.8055,2.975272,2.975272,2.278,2.278,0.7827293200000001,0.7827293200000001,0.179,0.179,0.821,0.821,2.8638052,2.8761768,2.1615,2.1745,0.7988599999999999,0.7973316,0.20375,0.1995,0.79625,0.8005,0.7307766800000001,0.8282434,0.6168268400000001,0.7106114,523.4094361599999,529.7476101999999
5,-0.36219257393577003,-0.4569361169405998,1.0,1.0,2.58902684,2.615348,1.951,1.9695,0.8341886,0.83091784,0.21,0.20675,0.79,0.79325,2.70318284,2.70318284,2.062,2.062,0.81967064,0.81967064,0.19525,0.19525,0.80475,0.80475,2.5941496,2.5949535999999997,1.945,1.947,0.8338368,0.8335324,0.22575,0.223,0.77425,0.777,0.72765588,0.81700164,0.61763728,0.70264356,655.99243196,662.23173512
6,-0.35747643822861547,-0.43377064709334445,1.0,1.0,2.48309004,2.48085972,1.8565,1.8595,0.84674136,0.8463998800000001,0.22525,0.2225,0.77475,0.7775,2.59846216,2.59846216,1.965,1.965,0.83312928,0.83312928,0.2025,0.2025,0.7975,0.7975,2.489684,2.5016027999999997,1.856,1.8645,0.8466456000000001,0.8446832,0.22725,0.2275,0.77275,0.7725,0.72738,0.8029243199999999,0.6247526,0.6948096399999999,790.51137168,796.4927356799999
7,-0.37417955311419493,-0.43636852748067967,1.0,1.0,2.31909816,2.33062376,1.7395,1.7455,0.8684235199999999,0.86735276,0.23475,0.23675,0.76525,0.76325,2.40749956,2.40749956,1.8105,1.8105,0.8575174000000001,0.8575174000000001,0.2265,0.2265,0.7735,0.7735,2.3068404,2.3127668,1.722,1.7255,0.8696923999999999,0.8691064000000001,0.24225,0.2455,0.75775,0.7545,0.72546312,0.79250252,0.623232,0.68496188,924.1936946799999,929.98968016
8,-0.38991118111653666,-0.4438014263605442,1.0,1.0,2.2265516400000003,2.22730548,1.6545,1.6575,0.8771526799999999,0.87724668,0.2525,0.24925,0.7475,0.75075,2.3505261599999994,2.3505261599999994,1.7805,1.7805,0.8636116800000001,0.8636116800000001,0.22075,0.22075,0.77925,0.77925,2.2380012,2.2346492,1.6625,1.665,0.876116,0.8765660000000001,0.2555,0.252,0.7445,0.748,0.72419664,0.78491056,0.62362084,0.67919132,1056.0927835599998,1061.86026428
9,-0.40469556891872965,-0.45039919496793324,1.0,1.0,2.10484068,2.11566512,1.5895,1.599,0.8905294799999999,0.88937632,0.248,0.24575,0.752,0.75425,2.1476994400000002,2.1476994400000002,1.6155,1.6155,0.886141,0.886141,0.248,0.248,0.752,0.752,2.0819048,2.0812708000000004,1.56,1.5555,0.8930832000000001,0.8930228,0.259,0.262,0.741,0.738,0.72890724,0.7825449999999999,0.63285688,0.6813381999999999,1190.6812471599999,1196.2383319199998
10,-0.3984199373237159,-0.441054944056862,1.0,1.0,2.09543516,2.10334952,1.578,1.584,0.89177652,0.8909765199999999,0.2455,0.24575,0.7545,0.75425,2.1358826800000004,2.1358826800000004,1.6165,1.6165,0.8871766,0.8871766,0.24325,0.24325,0.75675,0.75675,2.0703312,2.0702976,1.55,1.552,0.893908,0.8939308000000001,0.262,0.26025,0.738,0.73975,0.7298234799999999,0.7799068800000001,0.63506176,0.6801252799999999,1324.03115536,1329.7120904
