Num_Stacked_Data,unpen_beta,CV_beta,unpen_gamma,CV_gamma,unpen_pred_RMSE,cv_pred_RMSE,unpen_pred_MAE,cv_pred_MAE,unpen_pred_Spearman,cv_pred_Spearman,unpen_Correct_pred,cv_Correct_pred,unpen_wrong_pred,cv_wrong_pred,unpen_team_size_RMSE,cv_team_size_RMSE,unpen_team_size_MAE,cv_team_size_MAE,unpen_team_size_Spearman,cv_team_size_Spearman,unpen_team_size_correct_pred,cv_team_size_correct_pred,unpen_team_size_wrong_pred,cv_team_size_wrong_pred,unpen_combine_RMSE,cv_combine_RMSE,unpen_combine_MAE,cv_combine_MAE,unpen_combine_Spearman,cv_combine_Spearman,unpen_combine_correct_pred,cv_combine_correct_pred,unpen_combine_incorrect_pred,cv_combine_incorrect_pred,unpen_RMSE_between_alpha,cv_RMSE_between_alpha,unpen_MAE_between_alpha,cv_MAE_between_alpha,unpen_Opt_lik_est,cv_Opt_lik_est
1,0.6456947061289179,-0.0643353766257111,1.0,1.0,4.80632168,4.75788856,3.8425,3.7885,0.43690592,0.44750588,0.0925,0.0925,0.9075,0.9075,5.0202696,5.0202696,4.0085,4.0085,0.38828232,0.38828232,0.09025,0.09025,0.90975,0.90975,4.9450548,4.902220399999999,3.9535,3.9095,0.4057056,0.4155188,0.089,0.092,0.911,0.908,3.8427073199999997,1.5124728800000002,2.64669408,1.22451744,105.10172448,111.48982548
2,-0.8919994693024118,-1.1203910690513608,1.0,1.0,4.1083412,4.070906679999999,3.222,3.1705,0.5838113199999999,0.59029408,0.11625,0.129,0.88375,0.871,4.53624172,4.53624172,3.5865,3.5865,0.49291764,0.49291764,0.106,0.106,0.894,0.894,4.2924128,4.25325,3.3815,3.337,0.5461176000000001,0.5535047999999999,0.11175,0.11575,0.88825,0.88425,0.6225085200000001,0.30235895999999995,0.48531588,0.24331252,242.69955528,249.87014612
3,-1.0688237824838351,-1.1863578834184425,1.0,1.0,3.60304768,3.57845032,2.833,2.813,0.67871772,0.6831295599999998,0.13725,0.1385,0.86275,0.8615,4.14536444,4.14536444,3.266,3.266,0.5768822399999999,0.5768822399999999,0.12175,0.12175,0.87825,0.87825,3.8504463999999996,3.8170632,3.0305,3.0,0.6343772,0.6404372,0.13325,0.13425,0.86675,0.86575,0.38871896,0.2370498,0.31479516,0.19394928000000003,370.148484,376.82306828000003
4,-1.129066741054446,-1.2063075799084086,1.0,1.0,3.324781,3.3157408800000003,2.603,2.594,0.72595316,0.7273178,0.1485,0.14725,0.8515,0.85275,3.85998112,3.85998112,3.0235,3.0235,0.63275304,0.63275304,0.13875,0.13875,0.86125,0.86125,3.5339196000000004,3.5141896,2.76,2.742,0.6906576,0.6937064000000001,0.15125,0.15525,0.84875,0.84475,0.31508392,0.21381832,0.25382468,0.17388492,496.98318684,503.2567912
5,-1.1648581079459719,-1.2219691733468365,1.0,1.0,3.1539569999999997,3.15078696,2.4575,2.4525,0.75605856,0.7566234800000001,0.1605,0.16075,0.8395,0.83925,3.6328199600000004,3.6328199600000004,2.8345,2.8345,0.6769647999999999,0.6769647999999999,0.1415,0.1415,0.8585,0.8585,3.3264947999999994,3.3223912,2.5855,2.584,0.7291664000000001,0.7298732,0.15525,0.1585,0.84475,0.8415,0.26508196,0.19335036,0.21626128,0.15823584,624.3109555999999,630.3689874400001
6,-1.1761967310361698,-1.2220328757295842,1.0,1.0,2.92132,2.90939512,2.2565,2.2445,0.7901290400000001,0.7916471999999999,0.175,0.1755,0.825,0.8245,3.51525568,3.51525568,2.751,2.751,0.6961527599999999,0.6961527599999999,0.13825,0.13825,0.86175,0.86175,3.1791404,3.1705056000000003,2.4665,2.4585,0.7519612,0.7532588,0.166,0.1625,0.834,0.8375,0.23845476,0.18201736,0.1927568,0.14776296,750.81362876,756.7536954800001
7,-1.1959263315114923,-1.2317283225089486,1.0,1.0,2.75244548,2.74171052,2.103,2.0935,0.81403544,0.81541172,0.193,0.192,0.807,0.808,3.27474844,3.27474844,2.535,2.535,0.7363650399999999,0.7363650399999999,0.1605,0.1605,0.8395,0.8395,2.9638107999999996,2.940542,2.2715,2.2555,0.7844588,0.787752,0.184,0.181,0.816,0.819,0.21655684000000003,0.17068635999999998,0.17448492,0.13843832,876.04317544,881.91338876
8,-1.2002541559965028,-1.232830134054835,1.0,1.0,2.6044453599999997,2.6006458400000003,2.005,2.004,0.8312118000000001,0.83147052,0.194,0.19525,0.806,0.80475,3.07567388,3.07567388,2.37,2.37,0.76596496,0.76596496,0.16325,0.16325,0.83675,0.83675,2.7815308,2.7762640000000003,2.139,2.1395,0.8077056,0.8086832,0.186,0.1835,0.814,0.8165,0.20265032000000002,0.16214952,0.16376004,0.13211311999999997,1001.6829804,1007.56134276
9,-1.2046792667936264,-1.2319805041291652,1.0,1.0,2.45026944,2.45206956,1.879,1.8805,0.85169404,0.8516589200000001,0.20475,0.20475,0.79525,0.79525,2.9979493199999996,2.9979493199999996,2.328,2.328,0.77905924,0.77905924,0.16625,0.16625,0.83375,0.83375,2.6661895999999996,2.6577744,2.0465,2.04,0.8247376,0.8260088,0.199,0.1985,0.801,0.8015,0.18307632,0.15155316,0.14722184,0.12228248000000001,1130.7252518,1136.46946228
10,-1.2067781404219715,-1.2305899276379269,1.0,1.0,2.36660328,2.36113528,1.817,1.813,0.86181184,0.86240012,0.212,0.2135,0.788,0.7865,2.8513602000000002,2.8513602000000002,2.212,2.212,0.79943524,0.79943524,0.17025,0.17025,0.82975,0.82975,2.5478468,2.5472539999999997,1.96,1.954,0.8398216,0.8398584,0.20475,0.20975,0.79525,0.79025,0.17338443999999997,0.14502792,0.1409074,0.11781256000000001,1258.42602056,1264.16629712
11,-1.2077108134413472,-1.228966702833011,1.0,1.0,2.3491708,2.35184208,1.7895,1.7935,0.86361188,0.86330584,0.21775,0.21625,0.78225,0.78375,2.852499,2.852499,2.19,2.19,0.7991764,0.7991764,0.1805,0.1805,0.8195,0.8195,2.5622944,2.5576912000000003,1.952,1.946,0.8378708,0.8383999999999999,0.214,0.2165,0.786,0.7835,0.16768224,0.14318164000000003,0.1359348,0.11616104000000002,1385.21302336,1390.8874897199998
12,-1.2237821260001207,-1.2424518038338241,1.0,1.0,2.22507012,2.2226133200000002,1.7025,1.7025,0.8777409600000001,0.8780353599999999,0.2215,0.2195,0.7785,0.7805,2.6948640400000006,2.6948640400000006,2.0785,2.0785,0.82142364,0.82142364,0.17975,0.17975,0.82025,0.82025,2.4056436,2.3989204,1.83,1.825,0.8573871999999999,0.8582584,0.2185,0.21825,0.7815,0.78175,0.15799828,0.13710416,0.12812892,0.11174384000000001,1509.2358630400001,1514.81688284
