Num_Stacked_Data,unpen_beta,CV_beta,unpen_gamma,CV_gamma,unpen_pred_RMSE,cv_pred_RMSE,unpen_pred_MAE,cv_pred_MAE,unpen_pred_Spearman,cv_pred_Spearman,unpen_Correct_pred,cv_Correct_pred,unpen_wrong_pred,cv_wrong_pred,unpen_team_size_RMSE,cv_team_size_RMSE,unpen_team_size_MAE,cv_team_size_MAE,unpen_team_size_Spearman,cv_team_size_Spearman,unpen_team_size_correct_pred,cv_team_size_correct_pred,unpen_team_size_wrong_pred,cv_team_size_wrong_pred,unpen_combine_RMSE,cv_combine_RMSE,unpen_combine_MAE,cv_combine_MAE,unpen_combine_Spearman,cv_combine_Spearman,unpen_combine_correct_pred,cv_combine_correct_pred,unpen_combine_incorrect_pred,cv_combine_incorrect_pred,unpen_RMSE_between_alpha,cv_RMSE_between_alpha,unpen_MAE_between_alpha,cv_MAE_between_alpha,unpen_Opt_lik_est,cv_Opt_lik_est
1,1.4593447610107375,0.5649189761119717,-0.7631367618818372,0.1850350185766347,5.6376690400000005,5.6023936800000005,4.57,4.5255,0.2319882,0.2417412,0.07725,0.084,0.92275,0.916,5.7685452800000006,5.7685452800000006,4.695,4.695,0.19642352,0.19642352,0.072,0.072,0.928,0.928,5.7383472,5.7059180000000005,4.662,4.6315,0.204586,0.2133504,0.07625,0.07475,0.92375,0.92525,2.87530908,1.22332488,2.0247874,0.98478708,71.79004828000001,77.47093324000001
2,-0.22279559941386312,-0.5129670917807878,1.1108667141469242,1.349652146498112,4.92622392,4.871850360000001,3.9045,3.855,0.40923539999999997,0.42235292,0.0965,0.1015,0.9035,0.8985,5.3184112400000005,5.3184112400000005,4.2465,4.2465,0.31489424,0.31489424,0.0855,0.0855,0.9145,0.9145,5.123864,5.0720512,4.0825,4.035,0.3629036,0.3754596,0.08825,0.093,0.91175,0.907,0.59227424,0.32246884,0.47922000000000003,0.2637376,165.7947854,171.45267076000002
3,-0.42098373992405086,-0.5776130793351882,1.3184318764277059,1.4433197382259564,4.67299608,4.64394472,3.708,3.673,0.46749404000000006,0.47304724,0.09875,0.10875,0.90125,0.89125,5.16549876,5.16549876,4.136,4.136,0.35501164,0.35501164,0.096,0.096,0.904,0.904,4.9149524,4.892632,3.904,3.8885,0.41421319999999995,0.41910559999999997,0.11025,0.11025,0.88975,0.88975,0.40539544,0.26310128,0.32668827999999994,0.21584604,254.94179767999998,260.02556724
4,-0.48821517953745963,-0.5849173793539576,1.4107081372298091,1.4809513852281795,4.3924946799999995,4.37576376,3.455,3.434,0.52890616,0.5326234,0.111,0.11675,0.889,0.88325,4.9844578,4.9844578,3.9675,3.9675,0.39607079999999995,0.39607079999999995,0.104,0.104,0.896,0.896,4.65119,4.6402556,3.685,3.677,0.47256880000000007,0.4753036,0.10575,0.1045,0.89425,0.8955,0.32581072,0.24535688,0.26295328000000007,0.2012576,344.25488544,348.69323352
5,-0.5206074563259587,-0.5915930458173455,1.4007205258400113,1.4499063845351083,4.1014462400000005,4.0808356,3.219,3.2045,0.5860823199999999,0.59023532,0.12525,0.1255,0.87475,0.8745,4.78994756,4.78994756,3.8075,3.8075,0.440659,0.440659,0.099,0.099,0.901,0.901,4.418168,4.3827532,3.4845,3.4595,0.5221987999999999,0.5297064,0.11625,0.11725,0.88375,0.88275,0.28549552,0.23033783999999996,0.2305124,0.18813480000000002,432.16521464000004,436.43672956
6,-0.5351429592999787,-0.5903310154359546,1.4356124273312991,1.471114851703351,3.9485816400000004,3.9428004,3.1,3.0925,0.61829408,0.6192354,0.1155,0.1235,0.8845,0.8765,4.60930692,4.60930692,3.6495,3.6495,0.48292947999999997,0.48292947999999997,0.10825,0.10825,0.89175,0.89175,4.2540504,4.2391524,3.364,3.353,0.5590372,0.562062,0.1135,0.115,0.8865,0.885,0.26237724,0.22275812000000003,0.21291828000000002,0.18179956,519.51175208,523.576276
7,-0.5604936982524631,-0.6034642305846266,1.4386776992005976,1.466861185663044,3.72454936,3.70874612,2.9195,2.907,0.65801188,0.66075312,0.12825,0.129,0.87175,0.871,4.45714808,4.45714808,3.519,3.519,0.51376468,0.51376468,0.11075,0.11075,0.88925,0.88925,4.0329464,4.0156176,3.162,3.154,0.6005999999999999,0.603424,0.123,0.1225,0.877,0.8775,0.23880487999999997,0.21204372000000002,0.19342648,0.17426376000000002,607.65237504,611.60216728
8,-0.5717261932782799,-0.6077031699014119,1.4687094829271772,1.4886836746101033,3.5976863199999998,3.5893002,2.783,2.779,0.6823412799999999,0.6840354,0.14575,0.14975,0.85425,0.85025,4.36563128,4.36563128,3.437,3.437,0.5345531600000001,0.5345531600000001,0.1145,0.1145,0.8855,0.8855,3.9289976,3.9226868,3.0495,3.049,0.6219184,0.6233296,0.142,0.14375,0.858,0.85625,0.22259120000000002,0.20567584,0.17935408,0.16794472,695.28108048,698.9520557200001
9,-0.5868952660097168,-0.6168931596084807,1.4705905535487322,1.4869970406253143,3.5783170799999997,3.55994508,2.778,2.763,0.68527056,0.6883765599999999,0.147,0.14525,0.853,0.85475,4.28533648,4.28533648,3.3575,3.3575,0.5521526800000001,0.5521526800000001,0.11775,0.11775,0.88225,0.88225,3.8702524000000005,3.8615132000000005,3.02,3.016,0.6329056,0.6346012,0.1335,0.1315,0.8665,0.8685,0.21423536,0.20199424,0.17345424000000004,0.165018,783.08935584,786.6661318
10,-0.5908164608382822,-0.616245954562588,1.4610092522678793,1.4750964526327948,3.38687808,3.38409148,2.6205,2.618,0.7184826400000001,0.7189414,0.14975,0.1505,0.85025,0.8495,4.1545627199999995,4.1545627199999995,3.251,3.251,0.57749416,0.57749416,0.1215,0.1215,0.8785,0.8785,3.703962,3.7008959999999997,2.877,2.8735,0.6640036,0.6647092,0.14275,0.142,0.85725,0.858,0.20379876000000002,0.1963836,0.16460191999999998,0.16059120000000002,871.42119496,874.86438688
